ID,Time1,Errors1,MWS1,Time2,Errors2,MWS2,Time3,Errors3,MWS3,Time4,Errors4,MWS4,Time5,Errors5,MWS5
1,453,6,13.57142857,369,3,10.28571429,254,0,7.857142857,263,0,8.428571429,276,0,10.28571429
2,356,1,3.0,285,1,0.571428571,485,3,6.714285714,454,3,4.428571429,297,0,1.857142857
3,294,1,8.142857143,307,4,13.42857143,248,3,12.0,309,5,11.14285714,449,6,12.14285714
4,562,3,12.85714286,719,14,16.42857143,349,0,7.857142857,356,1,9.142857143,484,2,13.42857143
5,339,1,12.42857143,328,4,11.14285714,334,4,12.0,331,5,10.42857143,297,0,8.714285714
6,252,0,4.285714286,320,7,6.857142857,250,2,3.571428571,372,2,5.142857143,353,2,8.714285714
7,343,4,3.0,457,7,10.57142857,245,4,3.0,329,2,6.857142857,375,6,10.85714286
8,382,0,1.571428571,337,4,8.0,339,1,5.428571429,389,4,12.57142857,316,0,6.0
9,293,0,3.714285714,285,7,3.285714286,277,0,3.571428571,497,3,8.285714286,314,0,5.142857143
10,437,7,5.0,539,16,10.85714286,254,0,7.714285714,447,25,9.0,623,12,12.0
11,545,4,8.428571429,445,12,7.714285714,260,0,4.571428571,248,0,2.285714286,291,0,3.428571429
12,178,1,8.142857143,210,2,8.857142857,330,3,7.285714286,200,1,8.857142857,210,0,9.0
13,243,0,10.85714286,253,2,8.142857143,229,1,8.142857143,315,0,7.142857143,532,2,11.57142857
14,294,0,10.57142857,280,3,4.428571429,217,2,7.285714286,228,0,5.142857143,267,3,11.28571429
15,281,0,5.714285714,265,1,7.285714286,298,5,9.285714286,239,1,5.0,214,0,8.142857143
16,453,0,8.857142857,388,5,9.857142857,392,0,7.428571429,559,2,10.0,465,2,8.857142857
17,311,2,9.857142857,381,6,11.28571429,237,2,10.14285714,295,3,11.57142857,330,3,12.14285714
18,424,5,8.142857143,276,7,9.857142857,307,2,9.0,622,2,10.28571429,305,1,7.571428571
19,304,0,8.285714286,244,0,4.714285714,310,0,8.285714286,408,1,8.0,333,0,9.0
20,346,3,8.428571429,414,1,8.285714286,244,0,5.0,355,0,7.857142857,577,9,12.42857143
21,659,4,6.714285714,393,0,2.285714286,338,0,0.714285714,315,0,1.571428571,371,0,0.571428571
22,728,5,15.85714286,320,13,11.85714286,660,9,14.71428571,557,5,16.57142857,594,2,15.14285714
23,385,3,6.857142857,365,2,8.857142857,327,3,7.428571429,435,1,6.571428571,620,1,10.0
24,415,7,13.42857143,422,7,11.42857143,320,5,10.0,304,5,11.14285714,303,5,14.42857143
25,306,0,6.428571429,219,0,0.714285714,321,1,3.714285714,291,2,2.142857143,223,0,2.142857143
26,276,0,0.571428571,252,1,0.142857143,224,0,0.285714286,419,4,1.0,332,0,0.571428571
27,269,0,2.285714286,371,0,4.0,231,2,3.142857143,257,1,4.714285714,300,0,3.428571429
